address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings
431 Gates St,"San Francisco, CA, 94110",2.0,1.0,935000,2,1754,10145
98 Mullen Ave,"San Francisco, CA, 94110",2.0,1.0,935000,2,1754,10145
155 Gardenside Dr #35,"San Francisco, CA, 94131",2.0,2.5,939000,2,1761,10189
1708 Fulton St,"San Francisco, CA, 94117",2.0,1.0,939000,2,1761,10189
1651 24th Ave,"San Francisco, CA, 94122",2.0,1.0,940000,2,1763,10200
350 Broderick St #304,"San Francisco, CA, 94117",2.0,2.0,990000,2,1772,10193
388 Fulton St #302,"San Francisco, CA, 94102",2.0,1.0,948000,2,1778,10287
53 Stillings Ave,"San Francisco, CA, 94131",2.0,1.0,948000,2,1778,10287
308 Sanchez St,"San Francisco, CA, 94114",2.0,1.0,949000,2,1780,10297
140 South Van Ness Ave #840,"San Francisco, CA, 94103",2.0,2.0,949000,2,1780,10297
1158 Sutter St #10,"San Francisco, CA, 94109",2.0,2.0,949000,2,1780,10297
273 Chattanooga St,"San Francisco, CA, 94114",2.0,1.0,949000,2,1780,10297
441 Myra Way,"San Francisco, CA, 94127",2.0,1.0,949000,2,1780,10297
148 Cole St,"San Francisco, CA, 94117",2.0,1.0,949000,2,1780,10297
829 Balboa St,"San Francisco, CA, 94118",2.0,1.0,949000,2,1780,10297
191 Sussex St,"San Francisco, CA, 94131",2.0,1.0,949000,2,1780,10297
1680 Lombard St ##2,"San Francisco, CA, 94123",2.0,1.0,949500,2,1781,10303
1063 Capitol Ave #29,"San Francisco, CA, 94112",2.0,2.0,950000,2,1782,10308
1587 15th St #401,"San Francisco, CA, 94103",2.0,1.0,950000,2,1782,10308
1595 Thomas St,"San Francisco, CA, 94124",2.0,1.0,950000,2,1782,10308
1725 Noe St,"San Francisco, CA, 94131",2.0,1.0,950000,2,1782,10308
2350 25th Ave,"San Francisco, CA, 94116",2.0,1.0,950000,2,1782,10308
267 Ulloa St,"San Francisco, CA, 94127",2.0,1.0,950000,2,1782,10308
140 South Van Ness Ave #522,"San Francisco, CA, 94103",2.0,2.0,959000,2,1799,10406
1700 Lawton St,"San Francisco, CA, 94122",2.0,1.5,959000,2,1799,10406
388 Fulton St #413,"San Francisco, CA, 94102",2.0,1.0,968000,2,1816,10504
200 Portola Dr #102,"San Francisco, CA, 94131",2.0,2.0,969000,2,1818,10514
388 Fulton St #511,"San Francisco, CA, 94102",2.0,1.0,974000,2,1827,10569
792 19th Ave,"San Francisco, CA, 94121",2.0,1.0,975000,2,1829,10580
463 Huron Ave,"San Francisco, CA, 94112",2.0,1.0,975000,2,1829,10580
205 Mullen Ave,"San Francisco, CA, 94110",2.0,3.0,975000,2,1829,10580
23-25 Brompton Ave,"San Francisco, CA, 94131",2.0,1.0,975500,2,1830,10585
350 Broderick St #208,"San Francisco, CA, 94117",2.0,2.0,980000,2,1838,10634
236 Shipley St #402,"San Francisco, CA, 94107",2.0,2.0,985000,2,1848,10688
558 28th Ave #202,"San Francisco, CA, 94121",2.0,2.0,989000,2,1855,10731
1679 Church St,"San Francisco, CA, 94114",2.0,1.5,989000,2,1855,10731
246 Missouri St,"San Francisco, CA, 94107",2.0,2.0,995000,2,1866,10797
531 Hill St,"San Francisco, CA, 94114",2.0,1.0,995000,2,1866,10797
1474 34th Ave,"San Francisco, CA, 94122",2.0,1.0,995000,2,1866,10797
4350 17th St,"San Francisco, CA, 94114",2.0,1.5,995000,2,1866,10797
