Address,PropID
"2241 Sacramento St #5San Francisco, CA, 94115
            
            
            3 bd, 2.5 ba, $2,195,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $2,745 + HOA
            
            Yearly tax savings² 
            
            $15,878",prop--950d617dc5133afd52dc
"861 27th StSan Francisco, CA, 94131
            
            
            3 bd, 2.5 ba, $2,249,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $2,813
            
            Yearly tax savings² 
            
            $16,269",prop--194369c95e811ef1a894
"225 Laguna StSan Francisco, CA, 94102
            
            
            3 bd, 2.5 ba, $2,395,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $2,995 + HOA
            
            Yearly tax savings² 
            
            $17,325",prop--d95252f40b1ff88592b4
"407 Missouri StSan Francisco, CA, 94107
            
            
            3 bd, 2 ba, $2,495,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $3,120
            
            Yearly tax savings² 
            
            $18,048",prop--8b88ce902a11e04aecb9
"221 Chenery StSan Francisco, CA, 94131
            
            
            3 bd, 2.5 ba, $2,595,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $3,245
            
            Yearly tax savings² 
            
            $18,772",prop--42c230db2bb671aa450e
"1450 Franklin St #1302San Francisco, CA, 94109
            
            
            3 bd, 3 ba, $4,245,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $5,309 + HOA
            
            Yearly tax savings² 
            
            $30,708",prop--f4935a62bcf6a2138f79
"2230 Bush StSan Francisco, CA, 94115
            
            
            3 bd, 3 ba, $4,995,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $6,247
            
            Yearly tax savings² 
            
            $36,133",prop--210eb4df86be8e148678
"1070 Green St #1501San Francisco, CA, 94133
            
            
            3 bd, 3.5 ba, $7,425,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $9,285 + HOA
            
            Yearly tax savings² 
            
            $53,711",prop--b37d41fd58e8cfd62d78
"301 Main St #37BSan Francisco, CA, 94105
            
            
            3 bd, 3.5 ba, $12,500,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $15,632 + HOA
            
            Yearly tax savings² 
            
            $90,423",prop--0e2f55a5793f1301dade
"131 Raymond AveSan Francisco, CA, 94134
            
            
            4 bd, 2 ba, $798,888
            
            
            4 co-owners
            
            Monthly cost²  
            
            $749
            
            Yearly tax savings² 
            
            $4,334",prop--2e0a4fcfbea50bf4f449
