address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings,gallery_url
307 Page St #1,"San Francisco, CA, 94102",2.0,1.0,749000,2,1405,8127,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318919
10 Harris Pl,"San Francisco, CA, 94123",2.0,1.0,750000,2,1407,8138,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323805
536 27th St #2,"San Francisco, CA, 94131",2.0,1.0,769000,2,1443,8344,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323315
1490 45th Ave,"San Francisco, CA, 94122",2.0,1.0,769000,2,1443,8344,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321839
32 Perego Ter,"San Francisco, CA, 94131",2.0,2.0,775000,2,1454,8409,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=322462
1405 34th Ave,"San Francisco, CA, 94122",2.0,1.0,775000,2,1454,8409,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=322641
902 Corbett Ave #4,"San Francisco, CA, 94131",2.0,1.0,779000,2,1461,8453,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321441
300 Baltimore Way,"San Francisco, CA, 94112",2.0,1.0,780000,2,1463,8464,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323442
2685 Pine,"San Francisco, CA, 94115",2.0,1.0,785000,2,1473,8518,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320657
75 Dichiera Ct,"San Francisco, CA, 94112",2.0,1.0,795000,2,1491,8626,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=322558
182 Galewood Cir,"San Francisco, CA, 94131",2.0,2.5,795000,2,1491,8626,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318797
287 Monterey Blvd,"San Francisco, CA, 94131",2.0,1.0,798000,2,1497,8659,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319363
